"","ID","LineID","PriFault","SecFault","FmCode","FmName","UpFmCode","UpFmName","FaultSense","DipDir","HW_VOffset","Comment","Author","Year","Title","Source","RefPg","ErrRange","PubScale"
"4866",91,6143,"stratigraphic cross-sections","seismic",1020,"UPPER CRETACEOUS",NA,NA,"thrust",230,NA,"Inferred fault with throws of 30-50 m on structural map of coal bed capping the basal Belly River shoreface sandstone.","Putnam, P.E.","1993","A multidisciplinary analysis of Belly River-Brazeau (Campanian) fluvial channel reservoirs in west-central Alberta, Canada.","Bulletin of Canadian Petroleum Geology. 41; 2,  p. 186-217.","206","< 1 km","1:1,724,250"
"4867",91,6144,"stratigraphic cross-sections","seismic",1020,"UPPER CRETACEOUS",NA,NA,"thrust",230,NA,"Inferred fault with throws of 30-50 m on structural map of coal bed capping the basal Belly River shoreface sandstone.","Putnam, P.E.","1993","A multidisciplinary analysis of Belly River-Brazeau (Campanian) fluvial channel reservoirs in west-central Alberta, Canada.","Bulletin of Canadian Petroleum Geology. 41; 2,  p. 186-217.","206","< 1 km","1:1,724,250"
"4868",91,6145,"stratigraphic cross-sections","seismic",1020,"UPPER CRETACEOUS",NA,NA,"thrust",230,NA,"Inferred fault with throws of 30-50 m on structural map of coal bed capping the basal Belly River shoreface sandstone.","Putnam, P.E.","1993","A multidisciplinary analysis of Belly River-Brazeau (Campanian) fluvial channel reservoirs in west-central Alberta, Canada.","Bulletin of Canadian Petroleum Geology. 41; 2,  p. 186-217.","206","< 1 km","1:1,724,250"
"4869",91,6146,"stratigraphic cross-sections","seismic",1020,"UPPER CRETACEOUS",NA,NA,"thrust",230,NA,"Inferred fault with throws of 30-50 m on structural map of coal bed capping the basal Belly River shoreface sandstone.","Putnam, P.E.","1993","A multidisciplinary analysis of Belly River-Brazeau (Campanian) fluvial channel reservoirs in west-central Alberta, Canada.","Bulletin of Canadian Petroleum Geology. 41; 2,  p. 186-217.","206","< 1 km","1:1,724,250"
"4870",91,6147,"stratigraphic cross-sections","seismic",1020,"UPPER CRETACEOUS",NA,NA,"thrust",230,NA,"Inferred fault with throws of 30-50 m on structural map of coal bed capping the basal Belly River shoreface sandstone.","Putnam, P.E.","1993","A multidisciplinary analysis of Belly River-Brazeau (Campanian) fluvial channel reservoirs in west-central Alberta, Canada.","Bulletin of Canadian Petroleum Geology. 41; 2,  p. 186-217.","206","< 1 km","1:1,724,250"
"4871",91,6148,"stratigraphic cross-sections","seismic",1020,"UPPER CRETACEOUS",NA,NA,"thrust",230,NA,"Inferred fault with throws of 30-50 m on structural map of coal bed capping the basal Belly River shoreface sandstone.","Putnam, P.E.","1993","A multidisciplinary analysis of Belly River-Brazeau (Campanian) fluvial channel reservoirs in west-central Alberta, Canada.","Bulletin of Canadian Petroleum Geology. 41; 2,  p. 186-217.","206","< 1 km","1:1,724,250"
"4872",91,6149,"stratigraphic cross-sections","seismic",1020,"UPPER CRETACEOUS",NA,NA,"thrust",230,NA,"Inferred fault with throws of 30-50 m on structural map of coal bed capping the basal Belly River shoreface sandstone.","Putnam, P.E.","1993","A multidisciplinary analysis of Belly River-Brazeau (Campanian) fluvial channel reservoirs in west-central Alberta, Canada.","Bulletin of Canadian Petroleum Geology. 41; 2,  p. 186-217.","206","< 1 km","1:1,724,250"
"4873",91,6150,"stratigraphic cross-sections","seismic",1020,"UPPER CRETACEOUS",NA,NA,"thrust",230,NA,"Inferred fault with throws of 30-50 m on structural map of coal bed capping the basal Belly River shoreface sandstone.","Putnam, P.E.","1993","A multidisciplinary analysis of Belly River-Brazeau (Campanian) fluvial channel reservoirs in west-central Alberta, Canada.","Bulletin of Canadian Petroleum Geology. 41; 2,  p. 186-217.","206","< 1 km","1:1,724,250"
"4874",91,6151,"stratigraphic cross-sections","seismic",1020,"UPPER CRETACEOUS",NA,NA,"thrust",230,NA,"Inferred fault with throws of 30-50 m on structural map of coal bed capping the basal Belly River shoreface sandstone.","Putnam, P.E.","1993","A multidisciplinary analysis of Belly River-Brazeau (Campanian) fluvial channel reservoirs in west-central Alberta, Canada.","Bulletin of Canadian Petroleum Geology. 41; 2,  p. 186-217.","206","< 1 km","1:1,724,250"
"4875",91,6152,"stratigraphic cross-sections","seismic",1020,"UPPER CRETACEOUS",NA,NA,"thrust",230,NA,"Inferred fault with throws of 30-50 m on structural map of coal bed capping the basal Belly River shoreface sandstone.","Putnam, P.E.","1993","A multidisciplinary analysis of Belly River-Brazeau (Campanian) fluvial channel reservoirs in west-central Alberta, Canada.","Bulletin of Canadian Petroleum Geology. 41; 2,  p. 186-217.","206","< 1 km","1:1,724,250"
"4876",91,6153,"stratigraphic cross-sections","seismic",1020,"UPPER CRETACEOUS",NA,NA,"thrust",230,NA,"Inferred fault with throws of 30-50 m on structural map of coal bed capping the basal Belly River shoreface sandstone.","Putnam, P.E.","1993","A multidisciplinary analysis of Belly River-Brazeau (Campanian) fluvial channel reservoirs in west-central Alberta, Canada.","Bulletin of Canadian Petroleum Geology. 41; 2,  p. 186-217.","206","< 1 km","1:1,724,250"
"4877",91,6154,"stratigraphic cross-sections","seismic",1020,"UPPER CRETACEOUS",NA,NA,"thrust",230,NA,"Inferred fault with throws of 30-50 m on structural map of coal bed capping the basal Belly River shoreface sandstone.","Putnam, P.E.","1993","A multidisciplinary analysis of Belly River-Brazeau (Campanian) fluvial channel reservoirs in west-central Alberta, Canada.","Bulletin of Canadian Petroleum Geology. 41; 2,  p. 186-217.","206","< 1 km","1:1,724,250"
"4878",91,6155,"stratigraphic cross-sections","seismic",1020,"UPPER CRETACEOUS",NA,NA,"thrust",230,NA,"Inferred fault with throws of 30-50 m on structural map of coal bed capping the basal Belly River shoreface sandstone.","Putnam, P.E.","1993","A multidisciplinary analysis of Belly River-Brazeau (Campanian) fluvial channel reservoirs in west-central Alberta, Canada.","Bulletin of Canadian Petroleum Geology. 41; 2,  p. 186-217.","206","< 1 km","1:1,724,250"
"4879",91,6156,"stratigraphic cross-sections","seismic",1020,"UPPER CRETACEOUS",NA,NA,"thrust",230,NA,"Inferred fault with throws of 30-50 m on structural map of coal bed capping the basal Belly River shoreface sandstone.","Putnam, P.E.","1993","A multidisciplinary analysis of Belly River-Brazeau (Campanian) fluvial channel reservoirs in west-central Alberta, Canada.","Bulletin of Canadian Petroleum Geology. 41; 2,  p. 186-217.","206","< 1 km","1:1,724,250"
"4880",91,6157,"stratigraphic cross-sections","seismic",1020,"UPPER CRETACEOUS",NA,NA,"thrust",230,NA,"Inferred fault with throws of 30-50 m on structural map of coal bed capping the basal Belly River shoreface sandstone.","Putnam, P.E.","1993","A multidisciplinary analysis of Belly River-Brazeau (Campanian) fluvial channel reservoirs in west-central Alberta, Canada.","Bulletin of Canadian Petroleum Geology. 41; 2,  p. 186-217.","206","< 1 km","1:1,724,250"
"4881",91,6158,"stratigraphic cross-sections","seismic",1020,"UPPER CRETACEOUS",NA,NA,"thrust",230,NA,"Inferred fault with throws of 30-50 m on structural map of coal bed capping the basal Belly River shoreface sandstone.","Putnam, P.E.","1993","A multidisciplinary analysis of Belly River-Brazeau (Campanian) fluvial channel reservoirs in west-central Alberta, Canada.","Bulletin of Canadian Petroleum Geology. 41; 2,  p. 186-217.","206","< 1 km","1:1,724,250"
"4882",91,6159,"stratigraphic cross-sections","seismic",1020,"UPPER CRETACEOUS",NA,NA,"thrust",230,NA,"Inferred fault with throws of 30-50 m on structural map of coal bed capping the basal Belly River shoreface sandstone.","Putnam, P.E.","1993","A multidisciplinary analysis of Belly River-Brazeau (Campanian) fluvial channel reservoirs in west-central Alberta, Canada.","Bulletin of Canadian Petroleum Geology. 41; 2,  p. 186-217.","206","< 1 km","1:1,724,250"
"4883",91,6160,"stratigraphic cross-sections","seismic",1020,"UPPER CRETACEOUS",NA,NA,"thrust",230,NA,"Inferred fault with throws of 30-50 m on structural map of coal bed capping the basal Belly River shoreface sandstone.","Putnam, P.E.","1993","A multidisciplinary analysis of Belly River-Brazeau (Campanian) fluvial channel reservoirs in west-central Alberta, Canada.","Bulletin of Canadian Petroleum Geology. 41; 2,  p. 186-217.","206","< 1 km","1:1,724,250"
"4884",91,6161,"stratigraphic cross-sections","seismic",1020,"UPPER CRETACEOUS",NA,NA,"thrust",230,NA,"Inferred fault with throws of 30-50 m on structural map of coal bed capping the basal Belly River shoreface sandstone.","Putnam, P.E.","1993","A multidisciplinary analysis of Belly River-Brazeau (Campanian) fluvial channel reservoirs in west-central Alberta, Canada.","Bulletin of Canadian Petroleum Geology. 41; 2,  p. 186-217.","206","< 1 km","1:1,724,250"
"4885",91,6162,"stratigraphic cross-sections","seismic",1020,"UPPER CRETACEOUS",NA,NA,"thrust",230,NA,"Inferred fault with throws of 30-50 m on structural map of coal bed capping the basal Belly River shoreface sandstone.","Putnam, P.E.","1993","A multidisciplinary analysis of Belly River-Brazeau (Campanian) fluvial channel reservoirs in west-central Alberta, Canada.","Bulletin of Canadian Petroleum Geology. 41; 2,  p. 186-217.","206","< 1 km","1:1,724,250"
"4886",91,6163,"stratigraphic cross-sections","seismic",1020,"UPPER CRETACEOUS",NA,NA,"thrust",230,NA,"Inferred fault with throws of 30-50 m on structural map of coal bed capping the basal Belly River shoreface sandstone.","Putnam, P.E.","1993","A multidisciplinary analysis of Belly River-Brazeau (Campanian) fluvial channel reservoirs in west-central Alberta, Canada.","Bulletin of Canadian Petroleum Geology. 41; 2,  p. 186-217.","206","< 1 km","1:1,724,250"
"4887",91,6164,"stratigraphic cross-sections","seismic",1020,"UPPER CRETACEOUS",NA,NA,"thrust",230,NA,"Inferred fault with throws of 30-50 m on structural map of coal bed capping the basal Belly River shoreface sandstone.","Putnam, P.E.","1993","A multidisciplinary analysis of Belly River-Brazeau (Campanian) fluvial channel reservoirs in west-central Alberta, Canada.","Bulletin of Canadian Petroleum Geology. 41; 2,  p. 186-217.","206","< 1 km","1:1,724,250"
"4888",91,6165,"stratigraphic cross-sections","seismic",1020,"UPPER CRETACEOUS",NA,NA,"thrust",230,NA,"Inferred fault with throws of 30-50 m on structural map of coal bed capping the basal Belly River shoreface sandstone.","Putnam, P.E.","1993","A multidisciplinary analysis of Belly River-Brazeau (Campanian) fluvial channel reservoirs in west-central Alberta, Canada.","Bulletin of Canadian Petroleum Geology. 41; 2,  p. 186-217.","206","< 1 km","1:1,724,250"
"4889",91,6166,"stratigraphic cross-sections","seismic",1020,"UPPER CRETACEOUS",NA,NA,"thrust",230,NA,"Inferred fault with throws of 30-50 m on structural map of coal bed capping the basal Belly River shoreface sandstone.","Putnam, P.E.","1993","A multidisciplinary analysis of Belly River-Brazeau (Campanian) fluvial channel reservoirs in west-central Alberta, Canada.","Bulletin of Canadian Petroleum Geology. 41; 2,  p. 186-217.","206","< 1 km","1:1,724,250"
"4890",91,6167,"stratigraphic cross-sections","seismic",1020,"UPPER CRETACEOUS",NA,NA,"thrust",230,NA,"Inferred fault with throws of 30-50 m on structural map of coal bed capping the basal Belly River shoreface sandstone.","Putnam, P.E.","1993","A multidisciplinary analysis of Belly River-Brazeau (Campanian) fluvial channel reservoirs in west-central Alberta, Canada.","Bulletin of Canadian Petroleum Geology. 41; 2,  p. 186-217.","206","< 1 km","1:1,724,250"
"4891",91,6168,"stratigraphic cross-sections","seismic",1020,"UPPER CRETACEOUS",NA,NA,"thrust",230,NA,"Inferred fault with throws of 30-50 m on structural map of coal bed capping the basal Belly River shoreface sandstone.","Putnam, P.E.","1993","A multidisciplinary analysis of Belly River-Brazeau (Campanian) fluvial channel reservoirs in west-central Alberta, Canada.","Bulletin of Canadian Petroleum Geology. 41; 2,  p. 186-217.","206","< 1 km","1:1,724,250"
"4892",91,6169,"stratigraphic cross-sections","seismic",1020,"UPPER CRETACEOUS",NA,NA,"thrust",230,NA,"Inferred fault with throws of 30-50 m on structural map of coal bed capping the basal Belly River shoreface sandstone.","Putnam, P.E.","1993","A multidisciplinary analysis of Belly River-Brazeau (Campanian) fluvial channel reservoirs in west-central Alberta, Canada.","Bulletin of Canadian Petroleum Geology. 41; 2,  p. 186-217.","206","< 1 km","1:1,724,250"
"4893",91,6170,"stratigraphic cross-sections","seismic",1020,"UPPER CRETACEOUS",NA,NA,"thrust",230,NA,"Inferred fault with throws of 30-50 m on structural map of coal bed capping the basal Belly River shoreface sandstone.","Putnam, P.E.","1993","A multidisciplinary analysis of Belly River-Brazeau (Campanian) fluvial channel reservoirs in west-central Alberta, Canada.","Bulletin of Canadian Petroleum Geology. 41; 2,  p. 186-217.","206","< 1 km","1:1,724,250"
"4894",91,6171,"stratigraphic cross-sections","seismic",1020,"UPPER CRETACEOUS",NA,NA,"thrust",230,NA,"Inferred fault with throws of 30-50 m on structural map of coal bed capping the basal Belly River shoreface sandstone.","Putnam, P.E.","1993","A multidisciplinary analysis of Belly River-Brazeau (Campanian) fluvial channel reservoirs in west-central Alberta, Canada.","Bulletin of Canadian Petroleum Geology. 41; 2,  p. 186-217.","206","< 1 km","1:1,724,250"
"4895",91,6172,"stratigraphic cross-sections","seismic",1020,"UPPER CRETACEOUS",NA,NA,"thrust",230,NA,"Inferred fault with throws of 30-50 m on structural map of coal bed capping the basal Belly River shoreface sandstone.","Putnam, P.E.","1993","A multidisciplinary analysis of Belly River-Brazeau (Campanian) fluvial channel reservoirs in west-central Alberta, Canada.","Bulletin of Canadian Petroleum Geology. 41; 2,  p. 186-217.","206","< 1 km","1:1,724,250"
"4896",91,6173,"stratigraphic cross-sections","seismic",1020,"UPPER CRETACEOUS",NA,NA,"thrust",230,NA,"Inferred fault with throws of 30-50 m on structural map of coal bed capping the basal Belly River shoreface sandstone.","Putnam, P.E.","1993","A multidisciplinary analysis of Belly River-Brazeau (Campanian) fluvial channel reservoirs in west-central Alberta, Canada.","Bulletin of Canadian Petroleum Geology. 41; 2,  p. 186-217.","206","< 1 km","1:1,724,250"
"4897",91,6174,"stratigraphic cross-sections","seismic",1020,"UPPER CRETACEOUS",NA,NA,"thrust",230,NA,"Inferred fault with throws of 30-50 m on structural map of coal bed capping the basal Belly River shoreface sandstone.","Putnam, P.E.","1993","A multidisciplinary analysis of Belly River-Brazeau (Campanian) fluvial channel reservoirs in west-central Alberta, Canada.","Bulletin of Canadian Petroleum Geology. 41; 2,  p. 186-217.","206","< 1 km","1:1,724,250"
"4898",91,6175,"stratigraphic cross-sections","seismic",1020,"UPPER CRETACEOUS",NA,NA,"thrust",230,NA,"Inferred fault with throws of 30-50 m on structural map of coal bed capping the basal Belly River shoreface sandstone.","Putnam, P.E.","1993","A multidisciplinary analysis of Belly River-Brazeau (Campanian) fluvial channel reservoirs in west-central Alberta, Canada.","Bulletin of Canadian Petroleum Geology. 41; 2,  p. 186-217.","206","< 1 km","1:1,724,250"
"4899",91,6176,"stratigraphic cross-sections","seismic",1020,"UPPER CRETACEOUS",NA,NA,"thrust",230,NA,"Inferred fault with throws of 30-50 m on structural map of coal bed capping the basal Belly River shoreface sandstone.","Putnam, P.E.","1993","A multidisciplinary analysis of Belly River-Brazeau (Campanian) fluvial channel reservoirs in west-central Alberta, Canada.","Bulletin of Canadian Petroleum Geology. 41; 2,  p. 186-217.","206","< 1 km","1:1,724,250"
"4900",91,6177,"stratigraphic cross-sections","seismic",1020,"UPPER CRETACEOUS",NA,NA,"thrust",230,NA,"Inferred fault with throws of 30-50 m on structural map of coal bed capping the basal Belly River shoreface sandstone.","Putnam, P.E.","1993","A multidisciplinary analysis of Belly River-Brazeau (Campanian) fluvial channel reservoirs in west-central Alberta, Canada.","Bulletin of Canadian Petroleum Geology. 41; 2,  p. 186-217.","206","< 1 km","1:1,724,250"
"4901",91,6178,"stratigraphic cross-sections","seismic",1020,"UPPER CRETACEOUS",NA,NA,"thrust",230,NA,"Inferred fault with throws of 30-50 m on structural map of coal bed capping the basal Belly River shoreface sandstone.","Putnam, P.E.","1993","A multidisciplinary analysis of Belly River-Brazeau (Campanian) fluvial channel reservoirs in west-central Alberta, Canada.","Bulletin of Canadian Petroleum Geology. 41; 2,  p. 186-217.","206","< 1 km","1:1,724,250"
"4902",91,6179,"stratigraphic cross-sections","seismic",1020,"UPPER CRETACEOUS",NA,NA,"thrust",230,NA,"Inferred fault with throws of 30-50 m on structural map of coal bed capping the basal Belly River shoreface sandstone.","Putnam, P.E.","1993","A multidisciplinary analysis of Belly River-Brazeau (Campanian) fluvial channel reservoirs in west-central Alberta, Canada.","Bulletin of Canadian Petroleum Geology. 41; 2,  p. 186-217.","206","< 1 km","1:1,724,250"
"4903",91,6180,"stratigraphic cross-sections","seismic",1020,"UPPER CRETACEOUS",NA,NA,"thrust",230,NA,"Inferred fault with throws of 30-50 m on structural map of coal bed capping the basal Belly River shoreface sandstone.","Putnam, P.E.","1993","A multidisciplinary analysis of Belly River-Brazeau (Campanian) fluvial channel reservoirs in west-central Alberta, Canada.","Bulletin of Canadian Petroleum Geology. 41; 2,  p. 186-217.","206","< 1 km","1:1,724,250"
"4904",91,6181,"stratigraphic cross-sections","seismic",1020,"UPPER CRETACEOUS",NA,NA,"thrust",230,NA,"Inferred fault with throws of 30-50 m on structural map of coal bed capping the basal Belly River shoreface sandstone.","Putnam, P.E.","1993","A multidisciplinary analysis of Belly River-Brazeau (Campanian) fluvial channel reservoirs in west-central Alberta, Canada.","Bulletin of Canadian Petroleum Geology. 41; 2,  p. 186-217.","206","< 1 km","1:1,724,250"
"4905",91,6182,"stratigraphic cross-sections","seismic",1020,"UPPER CRETACEOUS",NA,NA,"thrust",230,NA,"Inferred fault with throws of 30-50 m on structural map of coal bed capping the basal Belly River shoreface sandstone.","Putnam, P.E.","1993","A multidisciplinary analysis of Belly River-Brazeau (Campanian) fluvial channel reservoirs in west-central Alberta, Canada.","Bulletin of Canadian Petroleum Geology. 41; 2,  p. 186-217.","206","< 1 km","1:1,724,250"
"4906",91,6183,"stratigraphic cross-sections","seismic",1020,"UPPER CRETACEOUS",NA,NA,"thrust",230,NA,"Inferred fault with throws of 30-50 m on structural map of coal bed capping the basal Belly River shoreface sandstone.","Putnam, P.E.","1993","A multidisciplinary analysis of Belly River-Brazeau (Campanian) fluvial channel reservoirs in west-central Alberta, Canada.","Bulletin of Canadian Petroleum Geology. 41; 2,  p. 186-217.","206","< 1 km","1:1,724,250"
"4907",91,6184,"stratigraphic cross-sections","seismic",1020,"UPPER CRETACEOUS",NA,NA,"thrust",230,NA,"Inferred fault with throws of 30-50 m on structural map of coal bed capping the basal Belly River shoreface sandstone.","Putnam, P.E.","1993","A multidisciplinary analysis of Belly River-Brazeau (Campanian) fluvial channel reservoirs in west-central Alberta, Canada.","Bulletin of Canadian Petroleum Geology. 41; 2,  p. 186-217.","206","< 1 km","1:1,724,250"
"4908",92,6185,"stratigraphic cross-sections","seismic",1020,"UPPER CRETACEOUS",NA,NA,"thrust",230,NA,"inferred faults with throws of 30-50m. Associated with Laramide orogeny.","Putnam, P.E.","1993","A multidisciplinary analysis of Belly River-Brazeau (Campanian) fluvial channel reservoirs in west-central Alberta, Canada.","Bulletin of Canadian Petroleum Geology. 41; 2,  p. 186-217.","207","< 1 km","1:199,088"
"4909",92,6186,"stratigraphic cross-sections","seismic",1020,"UPPER CRETACEOUS",NA,NA,"thrust",230,NA,"inferred faults with throws of 30-50m. Associated with Laramide orogeny.","Putnam, P.E.","1993","A multidisciplinary analysis of Belly River-Brazeau (Campanian) fluvial channel reservoirs in west-central Alberta, Canada.","Bulletin of Canadian Petroleum Geology. 41; 2,  p. 186-217.","207","< 1 km","1:199,088"
"4910",92,6187,"stratigraphic cross-sections","seismic",1020,"UPPER CRETACEOUS",NA,NA,"thrust",230,NA,"inferred faults with throws of 30-50m. Associated with Laramide orogeny.","Putnam, P.E.","1993","A multidisciplinary analysis of Belly River-Brazeau (Campanian) fluvial channel reservoirs in west-central Alberta, Canada.","Bulletin of Canadian Petroleum Geology. 41; 2,  p. 186-217.","207","< 1 km","1:199,088"
"4911",92,6188,"stratigraphic cross-sections","seismic",1020,"UPPER CRETACEOUS",NA,NA,"thrust",230,NA,"inferred faults with throws of 30-50m. Associated with Laramide orogeny.","Putnam, P.E.","1993","A multidisciplinary analysis of Belly River-Brazeau (Campanian) fluvial channel reservoirs in west-central Alberta, Canada.","Bulletin of Canadian Petroleum Geology. 41; 2,  p. 186-217.","207","< 1 km","1:199,088"
"4912",92,6189,"stratigraphic cross-sections","seismic",1020,"UPPER CRETACEOUS",NA,NA,"thrust",230,NA,"inferred faults with throws of 30-50m. Associated with Laramide orogeny.","Putnam, P.E.","1993","A multidisciplinary analysis of Belly River-Brazeau (Campanian) fluvial channel reservoirs in west-central Alberta, Canada.","Bulletin of Canadian Petroleum Geology. 41; 2,  p. 186-217.","207","< 1 km","1:199,088"
"4913",92,6190,"stratigraphic cross-sections","seismic",1020,"UPPER CRETACEOUS",NA,NA,"thrust",230,NA,"inferred faults with throws of 30-50m. Associated with Laramide orogeny.","Putnam, P.E.","1993","A multidisciplinary analysis of Belly River-Brazeau (Campanian) fluvial channel reservoirs in west-central Alberta, Canada.","Bulletin of Canadian Petroleum Geology. 41; 2,  p. 186-217.","207","< 1 km","1:199,088"
"4914",92,6191,"stratigraphic cross-sections","seismic",1020,"UPPER CRETACEOUS",NA,NA,"thrust",230,NA,"inferred faults with throws of 30-50m. Associated with Laramide orogeny.","Putnam, P.E.","1993","A multidisciplinary analysis of Belly River-Brazeau (Campanian) fluvial channel reservoirs in west-central Alberta, Canada.","Bulletin of Canadian Petroleum Geology. 41; 2,  p. 186-217.","207","< 1 km","1:199,088"
"4915",92,6192,"stratigraphic cross-sections","seismic",1020,"UPPER CRETACEOUS",NA,NA,"thrust",230,NA,"inferred faults with throws of 30-50m. Associated with Laramide orogeny.","Putnam, P.E.","1993","A multidisciplinary analysis of Belly River-Brazeau (Campanian) fluvial channel reservoirs in west-central Alberta, Canada.","Bulletin of Canadian Petroleum Geology. 41; 2,  p. 186-217.","207","< 1 km","1:199,088"
"4916",92,6193,"stratigraphic cross-sections","seismic",1020,"UPPER CRETACEOUS",NA,NA,"thrust",230,NA,"inferred faults with throws of 30-50m. Associated with Laramide orogeny.","Putnam, P.E.","1993","A multidisciplinary analysis of Belly River-Brazeau (Campanian) fluvial channel reservoirs in west-central Alberta, Canada.","Bulletin of Canadian Petroleum Geology. 41; 2,  p. 186-217.","207","< 1 km","1:199,088"
"4917",92,6194,"stratigraphic cross-sections","seismic",1020,"UPPER CRETACEOUS",NA,NA,"unknown",0,NA,"Inferred fault on structural map of top of Chungo Member, Wapiabi Formation.","Putnam, P.E.","1993","A multidisciplinary analysis of Belly River-Brazeau (Campanian) fluvial channel reservoirs in west-central Alberta, Canada.","Bulletin of Canadian Petroleum Geology. 41; 2,  p. 186-217.","207","< 1 km","1:199,088"
"4918",92,6195,"stratigraphic cross-sections","seismic",1020,"UPPER CRETACEOUS",NA,NA,"unknown",0,NA,"Inferred fault on structural map of top of Chungo Member, Wapiabi Formation.","Putnam, P.E.","1993","A multidisciplinary analysis of Belly River-Brazeau (Campanian) fluvial channel reservoirs in west-central Alberta, Canada.","Bulletin of Canadian Petroleum Geology. 41; 2,  p. 186-217.","207","< 1 km","1:199,088"
"4919",92,6196,"stratigraphic cross-sections","seismic",1020,"UPPER CRETACEOUS",NA,NA,"unknown",0,NA,"Inferred fault on structural map of top of Chungo Member, Wapiabi Formation.","Putnam, P.E.","1993","A multidisciplinary analysis of Belly River-Brazeau (Campanian) fluvial channel reservoirs in west-central Alberta, Canada.","Bulletin of Canadian Petroleum Geology. 41; 2,  p. 186-217.","207","< 1 km","1:199,088"
"4920",92,6197,"stratigraphic cross-sections","seismic",1020,"UPPER CRETACEOUS",NA,NA,"unknown",0,NA,"Inferred fault on structural map of top of Chungo Member, Wapiabi Formation.","Putnam, P.E.","1993","A multidisciplinary analysis of Belly River-Brazeau (Campanian) fluvial channel reservoirs in west-central Alberta, Canada.","Bulletin of Canadian Petroleum Geology. 41; 2,  p. 186-217.","207","< 1 km","1:199,088"
"4921",92,6198,"stratigraphic cross-sections","seismic",1020,"UPPER CRETACEOUS",NA,NA,"unknown",0,NA,"Inferred fault on structural map of top of Chungo Member, Wapiabi Formation.","Putnam, P.E.","1993","A multidisciplinary analysis of Belly River-Brazeau (Campanian) fluvial channel reservoirs in west-central Alberta, Canada.","Bulletin of Canadian Petroleum Geology. 41; 2,  p. 186-217.","207","< 1 km","1:199,088"
"4922",92,6199,"stratigraphic cross-sections","seismic",1020,"UPPER CRETACEOUS",NA,NA,"unknown",0,NA,"Inferred fault on structural map of top of Chungo Member, Wapiabi Formation.","Putnam, P.E.","1993","A multidisciplinary analysis of Belly River-Brazeau (Campanian) fluvial channel reservoirs in west-central Alberta, Canada.","Bulletin of Canadian Petroleum Geology. 41; 2,  p. 186-217.","207","< 1 km","1:199,088"
"4923",92,6200,"stratigraphic cross-sections","seismic",1020,"UPPER CRETACEOUS",NA,NA,"unknown",0,NA,"Inferred fault on structural map of top of Chungo Member, Wapiabi Formation.","Putnam, P.E.","1993","A multidisciplinary analysis of Belly River-Brazeau (Campanian) fluvial channel reservoirs in west-central Alberta, Canada.","Bulletin of Canadian Petroleum Geology. 41; 2,  p. 186-217.","207","< 1 km","1:199,088"
"4924",92,6201,"stratigraphic cross-sections","seismic",1020,"UPPER CRETACEOUS",NA,NA,"unknown",0,NA,"Inferred fault on structural map of top of Chungo Member, Wapiabi Formation.","Putnam, P.E.","1993","A multidisciplinary analysis of Belly River-Brazeau (Campanian) fluvial channel reservoirs in west-central Alberta, Canada.","Bulletin of Canadian Petroleum Geology. 41; 2,  p. 186-217.","207","< 1 km","1:199,088"
"4925",92,6202,"stratigraphic cross-sections","seismic",1020,"UPPER CRETACEOUS",NA,NA,"unknown",0,NA,"Inferred fault on structural map of top of Chungo Member, Wapiabi Formation.","Putnam, P.E.","1993","A multidisciplinary analysis of Belly River-Brazeau (Campanian) fluvial channel reservoirs in west-central Alberta, Canada.","Bulletin of Canadian Petroleum Geology. 41; 2,  p. 186-217.","207","< 1 km","1:199,088"
"4926",92,6203,"stratigraphic cross-sections","seismic",1020,"UPPER CRETACEOUS",NA,NA,"unknown",0,NA,"Inferred fault on structural map of top of Chungo Member, Wapiabi Formation.","Putnam, P.E.","1993","A multidisciplinary analysis of Belly River-Brazeau (Campanian) fluvial channel reservoirs in west-central Alberta, Canada.","Bulletin of Canadian Petroleum Geology. 41; 2,  p. 186-217.","207","< 1 km","1:199,088"
"4927",92,6204,"stratigraphic cross-sections","seismic",1020,"UPPER CRETACEOUS",NA,NA,"unknown",0,NA,"Inferred fault on structural map of top of Chungo Member, Wapiabi Formation.","Putnam, P.E.","1993","A multidisciplinary analysis of Belly River-Brazeau (Campanian) fluvial channel reservoirs in west-central Alberta, Canada.","Bulletin of Canadian Petroleum Geology. 41; 2,  p. 186-217.","207","< 1 km","1:199,088"
"4928",92,6205,"stratigraphic cross-sections","seismic",1020,"UPPER CRETACEOUS",NA,NA,"unknown",0,NA,"Inferred fault on structural map of top of Chungo Member, Wapiabi Formation.","Putnam, P.E.","1993","A multidisciplinary analysis of Belly River-Brazeau (Campanian) fluvial channel reservoirs in west-central Alberta, Canada.","Bulletin of Canadian Petroleum Geology. 41; 2,  p. 186-217.","207","< 1 km","1:199,088"
"4929",92,6206,"stratigraphic cross-sections","seismic",1020,"UPPER CRETACEOUS",NA,NA,"unknown",0,NA,"Inferred fault on structural map of top of Chungo Member, Wapiabi Formation.","Putnam, P.E.","1993","A multidisciplinary analysis of Belly River-Brazeau (Campanian) fluvial channel reservoirs in west-central Alberta, Canada.","Bulletin of Canadian Petroleum Geology. 41; 2,  p. 186-217.","207","< 1 km","1:199,088"
